City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Yellowknife,CA,2021-04-04 02:30:18,62.456,-114.3525,9.0,61,75,6.91,broken clouds
60,Luena,AO,2021-04-04 02:31:22,-11.7833,19.9167,58.69,88,98,3.36,overcast clouds
61,Beringovskiy,RU,2021-04-04 02:34:41,63.05,179.3167,5.07,83,100,20.02,overcast clouds
62,Kayerkan,RU,2021-04-04 02:34:42,69.3497,87.7602,-3.14,76,10,8.46,clear sky
63,East London,ZA,2021-04-04 02:34:42,-33.0153,27.9116,60.64,80,2,9.6,clear sky
64,Katsuura,JP,2021-04-04 02:34:43,35.1333,140.3,72.0,56,75,20.71,broken clouds
65,Butaritari,KI,2021-04-04 02:34:43,3.0707,172.7902,82.6,77,20,13.04,light rain
66,Half Moon Bay,US,2021-04-04 02:34:43,37.4636,-122.4286,55.99,71,1,5.75,haze
67,Faanui,PF,2021-04-04 02:34:44,-16.4833,-151.75,82.8,70,12,6.04,few clouds
68,Victoria,HK,2021-04-04 02:31:31,22.2855,114.1577,80.01,84,21,1.01,few clouds
69,Yakima,US,2021-04-04 02:30:59,46.4665,-120.6678,64.4,25,1,5.75,clear sky
70,Mehamn,NO,2021-04-04 02:30:48,71.0357,27.8492,30.61,90,100,16.93,light snow
71,Upernavik,GL,2021-04-04 02:34:44,72.7868,-56.1549,-23.44,93,13,7.18,few clouds
72,Ilulissat,GL,2021-04-04 02:34:45,69.2167,-51.1,1.4,66,2,8.05,clear sky
73,Dunedin,NZ,2021-04-04 02:32:33,-45.8742,170.5036,70.3,53,9,10.98,clear sky
74,Kapaa,US,2021-04-04 02:34:45,22.0752,-159.319,75.2,69,75,18.41,light rain
75,Umm Lajj,SA,2021-04-04 02:34:45,25.0213,37.2685,70.52,33,8,17.16,clear sky
76,Tessalit,ML,2021-04-04 02:34:46,20.1986,1.0114,74.95,8,35,10.02,scattered clouds
77,Mercedes,AR,2021-04-04 02:34:46,-34.6515,-59.4307,64.0,84,98,4.0,overcast clouds
78,Baoro,CF,2021-04-04 02:34:46,5.6667,15.9667,73.65,54,100,0.6,overcast clouds
79,Hobart,AU,2021-04-04 02:34:47,-42.8794,147.3294,68.0,34,40,18.41,scattered clouds
80,Touros,BR,2021-04-04 02:34:47,-5.1989,-35.4608,75.2,94,75,3.44,broken clouds
81,Bredasdorp,ZA,2021-04-04 02:34:48,-34.5322,20.0403,50.0,87,0,3.96,clear sky
82,Hithadhoo,MV,2021-04-04 02:34:48,-0.6,73.0833,83.53,75,70,15.93,broken clouds
83,Vostok,RU,2021-04-04 02:34:48,46.4856,135.8833,34.72,36,83,10.87,broken clouds
84,Tongchuan,CN,2021-04-04 02:34:49,35.0806,109.0897,48.33,72,100,10.89,overcast clouds
85,Norman Wells,CA,2021-04-04 02:32:13,65.282,-126.8329,14.0,52,75,5.75,broken clouds
86,Arraial Do Cabo,BR,2021-04-04 02:31:09,-22.9661,-42.0278,75.31,74,27,4.36,scattered clouds
87,Nam Phong,TH,2021-04-04 02:34:49,16.7023,102.8557,89.01,83,75,2.3,heavy intensity rain
88,Polovinnoye,RU,2021-04-04 02:34:50,54.7914,65.9864,32.7,87,96,10.96,overcast clouds
89,Puerto Ayora,EC,2021-04-04 02:30:50,-0.7393,-90.3518,77.0,94,77,3.0,broken clouds
90,Opuwo,NA,2021-04-04 02:34:50,-18.0607,13.84,69.26,56,40,6.85,scattered clouds
91,Sandwick,GB,2021-04-04 02:34:51,60.0,-1.25,44.6,93,90,28.77,overcast clouds
92,Roald,NO,2021-04-04 02:34:51,62.5833,6.1333,44.6,76,90,27.63,overcast clouds
93,Mocuba,MZ,2021-04-04 02:34:51,-16.8392,36.9856,69.87,95,50,1.77,scattered clouds
94,Yar-Sale,RU,2021-04-04 02:33:12,66.8333,70.8333,22.44,99,100,3.31,overcast clouds
95,Barranca,PE,2021-04-04 02:32:53,-10.75,-77.7667,70.32,78,94,6.11,overcast clouds
96,Nanortalik,GL,2021-04-04 02:30:46,60.1432,-45.2371,35.26,91,100,12.82,overcast clouds
97,Wanning,CN,2021-04-04 02:34:52,18.8003,110.3967,84.04,63,7,8.12,clear sky
98,Bom Jesus,BR,2021-04-04 02:34:53,-9.0744,-44.3586,76.89,68,79,1.1,broken clouds
99,Sayyan,YE,2021-04-04 02:34:53,15.1718,44.3244,54.46,19,7,1.92,clear sky
100,Severo-Kurilsk,RU,2021-04-04 02:34:54,50.6789,156.125,33.71,83,81,25.68,broken clouds
101,Airai,TL,2021-04-04 02:30:52,-8.9266,125.4092,62.44,95,100,6.78,overcast clouds
102,George Town,MY,2021-04-04 02:34:54,5.4112,100.3354,84.0,89,40,1.14,scattered clouds
103,Sao Jose Da Coroa Grande,BR,2021-04-04 02:30:58,-8.8978,-35.1478,77.43,87,22,6.49,few clouds
104,Saint-Joseph,RE,2021-04-04 02:34:54,-21.3667,55.6167,77.0,69,0,6.91,clear sky
105,Castro,BR,2021-04-04 02:34:55,-24.7911,-50.0119,55.44,99,51,3.51,broken clouds
106,Mount Gambier,AU,2021-04-04 02:34:55,-37.8333,140.7667,69.8,60,40,12.66,scattered clouds
